CustomerId,CompanyCode,CustomerCode,CustomerName,City,PostalCode,Street,Telephone,GSTNo,SalesOrganisation,Dist_Channel,Division,SalesOffice,SalesGroup,Region,RegionDescription,LicenseNumber,ValidityOfLicense,Ship_To_Party,TM,Emp_Name,Plant
4348,1049,AGBKS1381,BHUSHAN KRUSHI SEVA KENDRA,NANDURBAR,425426,NAVAPUR,9421533208,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGBKS1381,25009217,NULL,
4349,1049,AGAKS1358,AVDHUT KRUSHI SEVA KENDRA,NASIK,422306,"Near Mahadeo Mandir,",9822881067,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGAKS1358,25009217,NULL,
4350,1049,AGBKP1383,"BHAGWAN KRUSHI PRODUCER CO. LTD.,",AURANGABAD,431105,PAITHAN,,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGBKP1383,25009217,NULL,
4351,1049,AGAKSS1380,ASHISH KRUSHI SEVA KENDRA,DHULE,424305,SAKRI,9881803130,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGAKSS1380,25009217,NULL,
4352,1049,AGGF1310,GREENVISION FARMERS PRODUCERS CO. L,NASHIK DIST,422103,SINNER,8055094141,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGGF1310,25009217,NULL,
4353,1049,AGBKP1311,BHOJAPUR KHORE POMOGRANATE PRODUCER,NASHIK DIST,422606,SINNER,9594948960,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGBKP1311,25009217,NULL,
4354,1049,AGSAB1359,SHREE AAI BHAGWATI KRUSHI SEVA KEND,NASIK,423501,"Shop No.1 & 4, GPH No.866,Dind",9881913968,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGSAB1359,25009217,NULL,
4355,1049,AGFAS1297,RUBI AGRO SALES TRADING,SIROHI,307513,"DADAWADI MARKET,MANDAR,",9982430647,,AG01,01,25,D014,699,20,Rajasthan,75/7425,NULL,AGFAS1297,25009217,NULL,
4356,1049,AGSKB1298,SHAKYA KHAD BHANDAR,MAINPURI,205001,HASANPUR ROAD,9411251492,,AG01,01,25,D012,695,24,Uttar Pradesh,75/7425,NULL,AGSKB1298,25005079,NULL,
4357,1049,AGSRE1299,SHRI RENUKADEVI ENTERPRISES,HAVERI,581110,HAVERI,9945611389,,AG01,01,25,D007,807,10,Karnataka,75/7425,NULL,AGSRE1299,25005079,NULL,
4358,1049,AGSST1300,SHRI SOMESHWAR TRADERS,HAVERI,581118,SAVANUR,7406072421,,AG01,01,25,D007,807,10,Karnataka,75/7425,NULL,AGSST1300,25005079,NULL,
4359,1049,AGBF1301,BANSAL FERTILISERS,ALIGARH,202145,"NAZIHAI BAZAR,",9412654134,,AG01,01,25,D012,523,24,Uttar Pradesh,75/7425,NULL,AGBF1301,25005079,NULL,
4360,1049,AGDKBB1302,DIVYA KHAD BEEJ BHANDAR,KAROULI,322241,KAROULI,9887474582,,AG01,01,25,D014,616,20,Rajasthan,75/7425,NULL,AGDKBB1302,25005079,NULL,
4363,1049,AGDKK1306,DHANRAJ KRISHI KENDRA,KANKER,494777,"BANOLE BAZAR,",9406401803,,AG01,01,25,D001,686,33,Chhattisgarh,75/7425,NULL,AGDKK1306,25018655,NULL,
4364,1049,AGMAC1307,MMC AGRO CORPORATION,MYSORE,570024,"#414, Devamba Agrahara,Veenese",9448596327,,AG01,01,25,D007,691,10,Karnataka,75/7425,NULL,AGMAC1307,25018655,NULL,
4365,1049,AGTVS1309,THENKOODU VIVASAYA SEVAI MAIYAM,E-RODE,638505,"KALLIPATTI, GOBI",9942555081,,AG01,01,25,D015,593,22,Tamil Nadu,75/7425,NULL,AGTVS1309,25018655,NULL,
4366,1049,AGKAK1312,KALAMESHWAR AGRO KENDRA,BIJAPUR,586128,SINDAGI,9620319386,,AG01,01,25,D007,700,10,Karnataka,75/7425,NULL,AGKAK1312,25018655,NULL,
4369,1049,AGVA1316,VARUN AGENCIES,WARANGAL,506002,"SEETARAMA COMPLEX, STATION ROA",7893521266,,AG01,01,25,D006,592,36,Telangana,75/7425,NULL,AGVA1316,25018655,NULL,
4370,1049,AGSLF1317,SRI LAXMI FERTILISERS & GENERAL MER,KHAMMAM,507123,YELLANDU,9849511027,36ADEPV8293P1ZF,AG01,01,25,D006,592,36,Telangana,75/7425,NULL,AGSLF1317,25018935,NULL,
4715,1049,AGSTP1852,SURYA TEJA POWER PROJECTS PVT LTD,MAHABOOBNAGAR,509125,"BOOCHPALLY,ITIKYALA",7947427082,36AABCV0042M1ZE,AG01,01,25,D017,662,36,Telangana,N.GOPAL KRISHNA,NULL,AGSTP1852,23115466,NULL,
4818,1049,AGRKS1710,RAITAMITRA KRUSHI SEVA KENDRA,"JAMKHAND,BAGALKOT",586126,TUNGAL,8748881084,,AG01,01,25,D007,807,10,Karnataka,,NULL,AGRKS1710,25001391,NULL,
4819,1049,AGOAA1712,OM AGRO AGENCIES,"BAGLAN,Nashik",423302,"GHB NO.662/1, MAIN ROAD,MUIHER",9921689927,,AG01,01,25,D002,562,13,Maharashtra,,NULL,AGOAA1712,25015864,NULL,
4823,1049,AGPKK1823,PANDEY KRISHI KENDRA,"BELHAR,BANKA",813202,DEOGHAR ROAD,,,AG01,01,25,D008,802,04,Bihar,,NULL,AGPKK1823,25015488,NULL,
4834,1049,AGMKB1785,MANOJ KHAD BEEJ BHANDAR,ARARIA,854325,PAIKTOLA,9939217611,10EAHPS9972N2ZU,AG01,01,25,D008,611,04,Bihar,,NULL,AGMKB1785,23117667,NULL,
4835,1049,AGSRK1786,SHRI RAM KRISHI SEVA KENDRA,"DALSINGHRARI,SAMSTRIPUR",848114,GHATNAWADA,9546471434,10BVHPK1425N1ZR,AG01,01,25,D008,612,04,Bihar,,NULL,AGSRK1786,23117667,NULL,
4946,1049,AGSE1793,SUNEETHA ENTERPRISES,"DUGGIRALA,GUNTUR",522302,"REVENDRAPADU,",9989137365,,AG01,01,25,D005,565,01,Andhra Pradesh,,NULL,AGSE1793,25020249,NULL,
5045,1049,AGARP2673,AGROS RYTHU SEVA KENDRAM-PULKAL,PULKAL,502293,37036,9705502073,36AXCPG1445J1ZN,AG01,01,25,D006,690,36,Telangana,,NULL,AGARP2673,25009433,NULL,
5107,1049,AGGAI1916,GAYATRI AGRO INDUSTRIAL POWER LIMIT,NALGONDA,508376,"CHEEKATIGUDEM ,KETHEPALLY",,36AABCG4892N1Z1,AG01,01,25,L025,,36,Telangana,75/7425,NULL,AGGAI1916,25019496,NULL,
5108,1049,AGABB1390,AGRAWAL BEEJ BHANDAR,PRATAPGARH,312604,CHOTTI SADANI,9414436314,,AG01,01,25,D014,699,20,Rajasthan,75/7425,NULL,AGABB1390,25020388,NULL,
5147,1049,AGUCK1818,UNNAT CROP KENDRA,"UCHKAGAON, GOPALGANJ",841438,ASANDAPUR,9631890074,10BFTPK0818M2ZA,AG01,01,25,D008,806,04,Bihar,75/7425,NULL,AGUCK1818,25009551,NULL,
5149,1049,AGSSF1854,SRI SRINIVASA FERTILISERS,"GANDHI CHOWK,WANAPARTHYMA",111111,"D.NO.22-71,GANDHI CHOWK",9866600150,,AG01,01,25,D006,589,36,Telangana,75/7425,NULL,AGSSF1854,25007622,NULL,
5172,1049,AGSTS2678,SACHIEN TRADERS,NIRMAL,504106,5-11-51/11/A1,9848415402,36ABSPG4830H1ZI,AG01,01,25,D006,668,36,Telangana,,NULL,AGSTS2678,25019750,NULL,
5174,1049,AGSVR2592,SRI VENKATESWARA RYTHU DEPORT,SALUR,535591,TS NO 162/2,9182208005,37ASRPC7574N1ZU,AG01,01,25,D005,565,01,Andhra Pradesh,,NULL,AGSVR2592,23114467,NULL,
5178,1049,AGBBP2405,BHAGWAN BHOMA PATIL,PAROLA,425111,SHANI MANDIR CHAUK,9730047979,,AG01,01,25,D017,662,13,Maharashtra,,NULL,AGBBP2405,25004382,NULL,
5185,1049,AGPT1816,PRABHU TRADERS,SIWAN,841226,"BARHARIA ROAD,SIWAN,",9931970656,10BTOPK3164P1ZC,AG01,01,25,D008,806,04,Bihar,N.GOPAL KRISHNA,NULL,AGPT1816,25009551,NULL,
5186,1049,AGST1819,SHIV TRADERS,GOPALGANJ,841428,"MANIKPUR,GOPALGANJ",7761810626,10DPXPS6865G1Z6,AG01,01,25,D008,806,04,Bihar,N.GOPAL KRISHNA,NULL,AGST1819,25009551,NULL,
5187,1049,AGLSC1821,LAXMI SEEDS CORPORATION,"BASANTPUR,SIWAN",841406,NEAR MAHINDRA AGENCY,8228009652,10BKUPS7020P1ZL,AG01,01,25,D008,806,04,Bihar,N.GOPAL KRISHNA,NULL,AGLSC1821,25022824,NULL,
5188,1049,AGHKK1822,HINDUSTAN KRISHI KENDRA,"BASANTPUR,SIWAN",841428,THANA ROAD,9430230920,10BCPPP2914Q1Z3,AG01,01,25,D008,614,04,Bihar,N.GOPAL KRISHNA,NULL,AGHKK1822,25022824,NULL,
5189,1049,AGBKK1824,BHARAT KRISHI KENDRA,"HUSSAINI,KESARIA,EAST CHA",845423,PS DUMARIAGHAT,9304060113,10AUOPR7746N1ZW,AG01,01,25,D008,612,04,Bihar,N.GOPAL KRISHNA,NULL,AGBKK1824,25003487,NULL,
5190,1049,AGGSA1825,GREEN SEEDS AGRO,"MOHADDINAGAR,HALSI,LAKHIS",811315,PREMDIHA,9572272538,10BZFPA5338C1Z6,AG01,01,25,D008,802,04,Bihar,N.GOPAL KRISHNA,NULL,AGGSA1825,25025315,NULL,
5192,1049,AGPKVB1829,PATEL KHAD VEEJ BHANDAR,"BAYANA,BHARATPUR",321401,NEAR GADHI CHOWK,7665288943,08AMQPH4290R1Z4,AG01,01,25,D014,616,20,Rajasthan,N.GOPAL KRISHNA,NULL,AGPKVB1829,25015488,NULL,
5193,1049,AGSBA1830,SRI BALAJI AGRO TRADERS,"DESIKA ROAD,NEAR JAGANMOH",570024,"NO.267/D1-1,DESIKA ROAD,",9448479069,29ACTFS2341F1ZT,AG01,01,25,D007,691,10,Karnataka,N.GOPAL KRISHNA,NULL,AGSBA1830,25015488,NULL,
5194,1049,AGCCS1831,CROP CARE SUPPLIES,"NIRESHWALLYA ROAD,BUNDER,",575001,SUPARIWALA BUILDING,9448137091,29ABEPJ7444E1ZM,AG01,01,25,D007,691,10,Karnataka,N.GOPAL KRISHNA,NULL,AGCCS1831,25015488,NULL,
5195,1049,AGSUK1832,SONEBHADRA URBARAK KENDRA,SONBHADRA,231216,"PANNUGANJ ROAD,ROBERTSGANJ",8005208200,09AFFFS3912P1ZF,AG01,01,25,D011,534,24,Uttar Pradesh,N.GOPAL KRISHNA,NULL,AGSUK1832,23148663,NULL,
5196,1049,AGGE1834,GANESH ENTERPRISES,"STATION ROAD,BUXAR",802101,JYOTI CHOWK,9431420171,10AATFG2763K1Z7,AG01,01,25,D008,802,04,Bihar,N.GOPAL KRISHNA,NULL,AGGE1834,23148663,NULL,
5199,1049,AGABB1837,ANSARI BEEJ BHANDAR,"DEVNAGAR,SURAJPUR",497333,MAIN ROAD,7999490126,,AG01,01,25,D001,688,33,Chhattisgarh,N.GOPAL KRISHNA,NULL,AGABB1837,25009510,NULL,
5200,1049,AGJS1840,JAGANNATH STORE,BARGARH,768027,ATTABIRA,9437201099,21AICPM6774B1ZL,AG01,01,25,D004,689,18,Odisha,N.GOPAL KRISHNA,NULL,AGJS1840,25009510,NULL,
5201,1049,AGSSS1841,SHARMA SEED STORE,"SEMILIGUDA,KORAPUT",764037,NANDAPUR,9439075333,21CWSPS1687P1ZI,AG01,01,25,D004,842,18,Odisha,N.GOPAL KRISHNA,NULL,AGSSS1841,25013367,NULL,
5202,1049,AGVBB1843,MAA VAISHNAVI BEEJ BHANDAR,12,835210,"BAZARTANK,KHUNTI",8709840512,20BACPM9358L1ZG,AG01,01,25,D009,837,34,Jharkhand,N.GOPAL KRISHNA,NULL,AGVBB1843,25011742,NULL,
5203,1049,AGNVS1844,NEW VASUNDHARA SEEDS,BHUNDU,825301,HOSPITAL ROAD,9431171688,20BDMPS2705J1ZL,AG01,01,25,D009,693,34,Jharkhand,N.GOPAL KRISHNA,NULL,AGNVS1844,25011742,NULL,
5204,1049,AGKAA1846,KUSHWAHA AGRO AGENCY,"BEHIND OLD JAIL ROAD,GIRI",825301,20 Nagar Nigam Market,9431192092,20BNDPK3958C1ZF,AG01,01,25,D009,693,34,Jharkhand,N.GOPAL KRISHNA,NULL,AGKAA1846,25012020,NULL,
5205,1049,AGSAT1847,SAI AGRO TECH,"MAROBADI,RANCHI",834008,"01,VIBHA APARTMENT,HARIHARR SI",7004477108,20CZJPK9893H1ZW,AG01,01,25,D009,693,34,Jharkhand,N.GOPAL KRISHNA,NULL,AGSAT1847,25012020,NULL,
5209,1049,AGCKB1853,CHAURASIYA KHAD BHANDAR,"MAHARAJAGANJ,MAHARAJAGANJ",273163,SABYA SISWA BAZAR,9129216100,09AFPPA9614J1Z3,AG01,01,25,D011,531,24,Uttar Pradesh,N.GOPAL KRISHNA,NULL,AGCKB1853,25004798,NULL,
5236,1049,AGMKC1320,MAA KRISHI CLINIC,ASHOK NAGAR,473331,ASHOK NAGAR,7697277888,,AG01,01,25,D003,547,12,Madhya Pradesh,75/7425,NULL,AGMKC1320,25018935,NULL,
5237,1049,AGJBT1321,JAI BALAJI TRADERS,MAINPURI,205304,"ETAWAH ROAD KUSHMARA, NEW KISH",9627194227,,AG01,01,25,D012,695,24,Uttar Pradesh,75/7425,NULL,AGJBT1321,25018935,NULL,
5239,1049,AGVF1323,VIRENDRA FERTILSIERS,CHANDAUSI,244412,CHANDAUSI,9837082881,,AG01,01,25,D012,523,24,Uttar Pradesh,75/7425,NULL,AGVF1323,25018935,NULL,
5241,1049,AGOFS1328,ORIZER FARM SOLUTIONS,AURANGABAD,824101,BYPASS CHOWK,7033395577,,AG01,01,25,D008,614,04,Bihar,75/7425,NULL,AGOFS1328,25018935,NULL,
5242,1049,AGGYB1329,GAYATRI YOGI BEEJ BHANDAR," ETAH",207247,"SARAI ROAD,ALIGANJ,",9410808138,,AG01,01,25,D012,523,24,Uttar Pradesh,75/7425,NULL,AGGYB1329,25018935,NULL,
5243,1049,AGKHB1330,KISSAN KHAD BEEJ BHANDAR,MEWAT,122105,TAURU,9813025920,,AG01,01,25,D013,536,07,Haryana,75/7425,NULL,AGKHB1330,25018935,NULL,
5245,1049,AGAKB1332,ALOK KHAD BHANDAR,MAHINDRAGADH,123027,KANINA,9416089660,,AG01,01,25,D013,536,07,Haryana,75/7425,NULL,AGAKB1332,25018935,NULL,
5246,1049,AGVKB1333,VERMA KHAD BHANDAR,SHANJANPUR,242221,"MIRZAPUR,JALALABAD,",9450440173,,AG01,01,25,D019,695,24,Uttar Pradesh,75/7425,NULL,AGVKB1333,25001396,NULL,
5248,1049,AGJKB1335,JAI KISHAN BEEJ BHANDAR,MAINPURI,205265,KURAWALI,9761608873,,AG01,01,25,D012,695,24,Uttar Pradesh,75/7425,NULL,AGJKB1335,25018935,NULL,
5249,1049,AGAAC1336,ARPIT AGRI CLINIC & AGRI BUSINESS,ETAH,207001,SHITALPUR,9412066254,,AG01,01,25,D012,523,24,Uttar Pradesh,75/7425,NULL,AGAAC1336,25004976,NULL,
5250,1049,AGRC1337,RAKESH & COMPANY,MAHENDRAGARH,123021,ATELI MANDI,9416417537,,AG01,01,25,D013,536,07,Haryana,75/7425,NULL,AGRC1337,25004976,NULL,
5251,1049,AGSRB1338,SHREE RAM BEEJ BHANDAR,MEWAT,122104,FIROJPUR JHIRKA,9416195192,,AG01,01,25,D013,536,07,Haryana,75/7425,NULL,AGSRB1338,25004976,NULL,
5254,1049,AGSSB1341,SHREE SHYAM BEEJ BHANDAR,GURGAON,122413,PATODI,9416236505,,AG01,01,25,D013,536,07,Haryana,75/7425,NULL,AGSSB1341,25004976,NULL,
5255,1049,AGBC1342,"BHUPESH & CO.,",REWARI,123501,"STATION ROAD,BAWAL,",9416349409,,AG01,01,25,D013,536,07,Haryana,75/7425,NULL,AGBC1342,25004976,NULL,
5256,1049,AGCBB1344,CHAUHAN PESTICIDES,Amroha,244102,Patai Khalsa,9917562220,,AG01,01,25,D012,523,24,Uttar Pradesh,75/7425,NULL,AGCBB1344,25004976,NULL,
5257,1049,AGDKS1345,DURGESH KRISHI SURAKSHA KENDRA,MAENGALGANJ,261505,"MAENGAL GANJ, METTAULI",9936624055,,AG01,01,25,D019,695,24,Uttar Pradesh,75/7425,NULL,AGDKS1345,25001396,NULL,
5258,1049,AGKBB1346,KRISHNA BEEJ AGENCY,MAINPURI,206303,"BIDHUNA CHAURAHA,NEAR PETROL P",9557010474,,AG01,01,25,D012,526,24,Uttar Pradesh,75/7425,NULL,AGKBB1346,25004976,NULL,
5262,1049,AGKKS1351,KAPILA KRISHI SEWA KENDRA,UNA,174301,"Santosh Ghar,Santosh Ghar,",9318926764,,AG01,01,25,D013,536,07,Haryana,75/7425,NULL,AGKKS1351,25004976,NULL,
5263,1049,AGSLV1352,SRI LAKSHMI VENKATESWARA TRADERS,MAHABOOBNAGAR,509412,"MAIN ROAD,PEDDAKOTHAPALLY,",7702493799,,AG01,01,25,D006,589,36,Telangana,75/7425,NULL,AGSLV1352,25004976,NULL,
5264,1049,AGRRF1353,RAJA RAJESHWARA FERTILISERS,NIZAMABAD,503120,LINGAMPET,9441424273,,AG01,01,25,D006,668,36,Telangana,75/7425,NULL,AGRRF1353,25004976,NULL,
5265,1049,AGDT1356,DEEP TRADERS,MAHABOOBNAGAR,509324,"Opp. Bus Stand,Kalwakurthy,",9440829499,36AACFD5007C1Z3,AG01,01,25,D006,589,36,Telangana,75/7425,NULL,AGDT1356,25007622,NULL,
5266,1049,AGSPC1343,SAISHRAM PESTICIDES & CHEMICALS,NASIK,423117,"WADALIBHOI, CHANDWAD",9850998104,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGSPC1343,25007622,NULL,
5267,1049,AGSLR1360,SOHAN LAL RAMESH CHANDRA SONI,Neemuch,458330,Zawad,9926861422,,AG01,01,25,D003,547,12,Madhya Pradesh,75/7425,NULL,AGSLR1360,23151177,NULL,
5268,1049,AGPBT1361,PAUL BHAI TRADING,Kanker,494776,"PV No.53, Anand Nagar,Gondahur",9407660488,,AG01,01,25,D001,870,33,Chhattisgarh,75/7425,NULL,AGPBT1361,25008933,NULL,
5269,1049,AGAPK1363,KRISHI PARAMARSH KENDRA,RAJNANDGAON,491229,"NEAR ALLAHABAD BANK,TAHISHIL,",9406066046,22APRPA2955C1Z9,AG01,01,25,D001,870,33,Chhattisgarh,75/7425,NULL,AGAPK1363,25012128,NULL,
5270,1049,AGSKB1364,SINHA KHAD BHANDAR,KONDAGAON,494228,FARASGAON,7697116640,,AG01,01,25,D001,686,33,Chhattisgarh,75/7425,NULL,AGSKB1364,23151177,NULL,
5272,1049,AGNJ1366,NIRMAN JAGAT,SAMASTIPUR,848125,"VISHWANATH COMPLEX,NAYATOLA, M",9726144244,10ARNPK8572H1ZL,AG01,01,25,D008,612,04,Bihar,75/7425,NULL,AGNJ1366,25003487,NULL,
5273,1049,AGNKT1367,NEW KAMNA TRACTORS,KAIMUR,821109,MOHANIA,9934733247,,AG01,01,25,D008,614,04,Bihar,75/7425,NULL,AGNKT1367,25003487,NULL,
5275,1049,AGBAA1370,BASAVESHWARA AGRO AGENCIES,CHITRADURGA,577501,CHITRADURGA,9901763691,,AG01,01,25,D007,691,10,Karnataka,75/7425,NULL,AGBAA1370,25019060,NULL,
5276,1049,AGSMT1371,SHRI MAILARILINGESHWARA AGRO TRADER,HAVERI,581148,"NO-2, MAIN ROAD,GRAMPANCHAYATI",9972604946,,AG01,01,25,D007,807,10,Karnataka,75/7425,NULL,AGSMT1371,25019060,NULL,
5277,1049,AGUC1372,"UGALATAD & CO.,",GADAG,582101,"PLOT NO.121,APMC YARD,GADAG",9449188379,,AG01,01,25,D007,700,10,Karnataka,75/7425,NULL,AGUC1372,25019060,NULL,
